grid,benchmark,variant,successful_seeds,required_seeds,failed_seeds,missing_seeds,comp_res_hpwl_mean,comp_res_hpwl_std,rudy_peak_mean,rudy_peak_std,rudy_top5_mean_mean,rudy_top5_mean_std,wall_seconds_mean,complete
448,bigblue2,linkplace-m,5,5,0,0,824454.6035714259,13753.2493126878,0.07501222200125869,0.005870948542732986,0.021677368412706084,0.0003965339189019335,15856.45061354637,True
448,bigblue2,all-greedy,0,5,5,0,,,,,,,,False
448,bigblue3,linkplace-c,5,5,0,0,3124574.8625000054,64241.251488322276,0.8183366989814465,0.044907162619828904,0.07463621307096498,0.0021663571535637193,13031.044408082962,True
448,bigblue3,linkplace-m,5,5,0,0,3236887.328571423,135069.68749363156,0.8050303582779698,0.030508899626228537,0.07679096065329208,0.002927155878937887,20051.59124741554,True
448,bigblue3,all-greedy,1,5,4,0,6823821.857142724,,0.8171637813342436,,0.13842747386501822,,,False
448,bigblue4,linkplace-c,5,5,0,0,5334680.384821542,53542.17675696653,0.4571170762072188,0.12095332478363253,0.07940191796256486,0.0005315235469006625,13542.229836511611,True
448,bigblue4,linkplace-m,5,5,0,0,5289067.436607261,82820.1725020769,0.4076084260076316,0.014733809828859374,0.08004619532958411,0.0014628747591977603,15916.345718860626,True
448,bigblue4,all-greedy,4,5,1,0,5715149.010044801,303221.2139626487,0.425612767962718,0.007227303437609846,0.0822318331747857,0.0032309915670725173,,False
224,adaptec1,linkplace-c,5,5,0,0,594217.4276785722,3465.834598205601,0.5855617021345638,0.004751546727749221,0.08353372482254896,0.00038988675997591525,2427.9140739917757,True
224,adaptec1,linkplace-m,5,5,0,0,601665.6330357147,1731.570800555049,0.5855384071578469,0.004773039242307365,0.083549426370741,0.0006910765886827859,3074.9552154541016,True
224,adaptec1,all-greedy,1,5,4,0,597045.799107143,,0.5819037936150957,,0.08308047914087219,,,False
224,adaptec2,linkplace-c,5,5,0,0,3595054.1178571843,319876.71931012603,0.6344051935579023,0.07640465320744909,0.14136443431033183,0.01044288231291414,2833.904845380783,True
224,adaptec2,linkplace-m,5,5,0,0,3144509.2500000554,107079.60620680984,0.8431013425505384,0.04865071976869657,0.13857032461277097,0.0010808207433045504,3226.5569880485536,True
224,adaptec2,all-greedy,0,5,5,0,,,,,,,,False
224,adaptec3,linkplace-c,5,5,0,0,5273503.810714336,29156.463534247974,0.593504075250638,0.002247311140808773,0.08342989237625273,0.001486166387699744,3273.871335077286,True
224,adaptec3,linkplace-m,5,5,0,0,5436926.869642885,73945.9324040014,0.6234931971193232,0.06485102877994689,0.08556294766965487,0.0018215632055566975,4107.535076141357,True
224,adaptec3,all-greedy,0,5,5,0,,,,,,,,False
224,adaptec4,linkplace-c,5,5,0,0,4670237.064285723,36747.995498354496,0.37406767190461504,0.004376317853289969,0.07584521513582738,0.000661301504436864,5121.628671169281,True
224,adaptec4,linkplace-m,5,5,0,0,4822354.542857153,41459.4396488346,0.36576369290305427,0.013700866602622189,0.07747725058097055,0.0012885358249022734,7540.178695631027,True
224,adaptec4,all-greedy,1,5,4,0,4982516.267857162,,0.3725280180232335,,0.08088811061971281,,,False
224,bigblue1,linkplace-c,5,5,0,0,226566.43035714392,2374.0307624565717,0.12270585368092748,5.886862152832271e-06,0.030276403794888256,0.00017363901266051967,3141.008286380768,True
224,bigblue1,linkplace-m,5,5,0,0,224676.62232142928,1657.8076244921294,0.12492522241032855,0.0030601122938242113,0.030598835487500635,0.000244570391819652,3159.0117551803587,True
224,bigblue1,all-greedy,4,5,1,0,230163.0122767865,2101.8749776143445,0.14704039001067926,8.51714890303641e-06,0.030934181979222437,0.00024355997011324583,,False
224,bigblue2,linkplace-c,5,5,0,0,807086.2499999976,4401.47366687706,0.06535813489298607,0.0036858396226773483,0.02084143452493039,0.00032370356585844344,5323.781948280334,True
224,bigblue2,linkplace-m,5,5,0,0,830092.3035714256,7554.735154097918,0.06374861462623763,0.004057421048599362,0.021109257769017797,0.00035671163146791627,5823.678620100021,True
224,bigblue2,all-greedy,0,5,5,0,,,,,,,,False
224,bigblue3,linkplace-c,5,5,0,0,3533453.582142903,192681.27507788432,0.7547010726228771,0.014239216293118702,0.07832097924740886,0.001227996385237379,5079.933874750137,True
224,bigblue3,linkplace-m,5,5,0,0,4622330.92500004,1512721.207766467,0.7483553721856974,1.1583411207742503e-05,0.09508325188180758,0.023019406750789916,7393.508707380295,True
224,bigblue3,all-greedy,3,5,2,0,7279303.095238048,94987.40723521607,0.7483820454117973,6.0137707044597826e-06,0.1356221586124395,0.000522534222012414,,False
224,bigblue4,linkplace-c,5,5,0,0,5981184.249999872,97077.91398210262,0.49795242706413456,0.16491201192676072,0.08418982215572172,0.0028404468352001013,5283.34647808075,True
224,bigblue4,linkplace-m,5,5,0,0,5962090.391071324,100395.49562512827,0.48443132461731275,0.1449763136451559,0.08403130801366324,0.002922322463148857,5827.154582118988,True
224,bigblue4,all-greedy,5,5,0,0,6598390.883928416,297740.8231886244,0.43300884826505637,0.04093366890252743,0.083789223891811,0.0007800948173362071,,True
